Location,Code
Atlanta,ATL
Beijing,PEK
Los Angeles,LAX
Tokyo,HND
Dubai,DXB
Chicago,ORD
London,LHR
Shanghai,PVG
France,CDG
Dallas,DFW
Guangdong,CAN
Holland,AMS
Frankfurt,FRA
Denver,DEN
Changi,SIN
Delhi,DEL
New York,JFK
Madrid,MAD
Barcelona,BCN
Istanbul,IST
Washington,SEA
Las Vegas,LAS
Toronto,YYZ
Mexico City,MEX
Dominica,DOM
Sydney,SYD
Bali,DPS
Ottawa,YOW
Vancouver,YVR
Orlando,MCO
Venice,VCE
Rome,FCO
Berlin,TXL
Bangkok,BKK
Amsterdam,AMS
Montreal,YUL
Denmark,CPH
